fy,id,cancersite,regpatient
2013,24,Liver,113
2013,25,Liver,268
2013,26,Liver,358
2013,27,Liver,5
2013,28,Liver,44
2013,29,Liver,119
2013,30,Liver,116
2013,31,Liver,37
2013,34,Liver,38
2013,36,Liver,69
2013,37,Liver,73
2013,38,Liver,182
2013,39,Liver,79
2013,41,Liver,194
2013,42,Liver,25
2013,43,Liver,240
2013,44,Liver,94
2013,45,Liver,235
2013,46,Liver,109
2013,47,Liver,82
2013,48,Liver,37
2013,49,Liver,142
2013,50,Liver,151
2013,51,Liver,119
2013,52,Liver,39
2013,53,Liver,135
2013,54,Liver,88
2013,55,Liver,229
2013,56,Liver,158
2013,57,Liver,107
2013,58,Liver,241
2013,59,Liver,62
2013,60,Liver,59
2013,61,Liver,210
2013,62,Liver,163
2013,63,Liver,65
2013,64,Liver,206
2013,65,Liver,93
2013,66,Liver,123
2013,68,Liver,124
2013,72,Liver,56
2014,1,Liver,358
2014,2,Liver,26
2014,3,Liver,142
2014,4,Liver,203
2014,6,Liver,48
2014,7,Liver,140
2014,8,Liver,158
2014,9,Liver,136
2014,11,Liver,167
2014,13,Liver,76
2014,14,Liver,96
2014,15,Liver,75
2014,16,Liver,384
2014,17,Liver,205
2014,18,Liver,231
2014,19,Liver,69
2014,21,Liver,71
2014,22,Liver,105
2014,23,Liver,73
2014,24,Liver,140
2014,25,Liver,258
2014,26,Liver,457
2014,27,Liver,6
2014,28,Liver,33
2014,29,Liver,116
2014,30,Liver,118
2014,31,Liver,37
2014,34,Liver,29
2014,36,Liver,47
2014,37,Liver,63
2014,38,Liver,215
2014,39,Liver,92
2014,41,Liver,130
2014,42,Liver,122
2014,43,Liver,243
2014,44,Liver,94
2014,45,Liver,209
2014,46,Liver,110
2014,47,Liver,62
2014,49,Liver,168
2014,50,Liver,165
2014,51,Liver,89
2014,52,Liver,46
2014,53,Liver,112
2014,54,Liver,71
2014,55,Liver,271
2014,56,Liver,125
2014,57,Liver,80
2014,58,Liver,249
2014,59,Liver,85
2014,60,Liver,50
2014,61,Liver,186
2014,62,Liver,180
2014,63,Liver,74
2014,64,Liver,206
2014,65,Liver,94
2014,66,Liver,128
2014,68,Liver,153
2014,72,Liver,72
2015,1,Liver,360
2015,2,Liver,88
2015,3,Liver,181
2015,4,Liver,180
2015,6,Liver,49
2015,7,Liver,181
2015,8,Liver,177
2015,9,Liver,137
2015,11,Liver,240
2015,13,Liver,105
2015,14,Liver,104
2015,15,Liver,91
2015,16,Liver,546
2015,17,Liver,244
2015,18,Liver,209
2015,19,Liver,56
2015,20,Liver,155
2015,21,Liver,97
2015,22,Liver,124
2015,23,Liver,110
2015,24,Liver,156
2015,25,Liver,260
2015,26,Liver,494
2015,27,Liver,5
2015,28,Liver,72
2015,29,Liver,54
2015,30,Liver,136
2015,31,Liver,40
2015,34,Liver,61
2015,36,Liver,63
2015,37,Liver,63
2015,38,Liver,193
2015,39,Liver,94
2015,41,Liver,114
2015,42,Liver,151
2015,43,Liver,250
2015,44,Liver,158
2015,45,Liver,188
2015,46,Liver,116
2015,47,Liver,62
2015,48,Liver,47
2015,49,Liver,169
2015,50,Liver,167
